MCF Channel Grouping Path,Conversions,Conversion Value,,
Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct,2,507.00,,
Direct > Direct > Referral > Direct > Direct > Referral,2,398.00,,
Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,2,34.37,,
Direct > Organic Search > Direct > Referral > Organic Search,2,93.67,,
Direct > Organic Search > Direct > Referral > Organic Search > Referral > Direct > Referral > Referral,2,378.00,,
Direct > Organic Search > Direct > Referral > Organic Search > Referral > Direct > Referral > Referral > Direct,2,169.00,,
Direct > Social Network > Direct > Direct,2,149.00,,
Referral > Direct > Direct > Direct > Display > Referral,2,41.59,,
Referral > Direct > Direct > Referral > Direct > Direct,2,199.00,,
Referral > Direct > Referral > Direct > Direct,2,318.00,,
Referral > Direct > Referral > Referral > Referral > Direct,2,99.00,,
Referral > Referral > Referral > Direct > Direct > Referral > Referral > Direct > Referral,2,119.00,,
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,2,99.00,,
Referral > Referral > Referral > Organic Search > Direct > Direct > Direct > Direct,2,149.00,,
Referral > Organic Search > Referral > Direct > Referral > Referral > Referral,2,485.00,,
Referral > Social Network > Referral > Referral,2,627.00,,
Organic Search > Direct > Referral > Direct > Direct > Direct > Direct,2,17.59,,
Organic Search > Referral > Referral > Referral > Referral > Referral > Direct > Direct,2,279.00,,
